"Title","Average_2014","Male_2014","Female_2014","Gap_2014","Average_2015","Male_2015","Female_2015","Gap_2015","Average_2016","Male_2016","Female_2016","Gap_2016","Average_2017","Male_2017","Female_2017","Gap_2017","Average_2018","Male_2018","Female_2018","Gap_2018","Average_2019","Male_2019","Female_2019","Gap_2019","Average_2020","Male_2020","Female_2020","Gap_2020"
"",55386.4856152864,55385.1835058676,58421.6112469058,"-2.7%",55287.2053800225,55285.9056046339,58316.8905511502,"-2.7%",58350.4242954227,58350.013272995,59308.4887159092,"-0.8%",65218.0997628789,65218.0997628789,65218.0997628789,"0.0%",57760.9153342676,57766.2660270513,54456.3653674505,"2.9%",56805.1764277492,56810.4385854874,53555.3050780133,"2.9%",65587,65588.3556009049,64749.7904822008,"0.6%"
"*ADM DIR FLEET MAINTENANCE - NM",139908.516787435,139908.516787435,139908.516787435,"0.0%",139657.730872644,139657.730872644,139657.730872644,"0.0%",138211.395437737,138211.395437737,138211.395437737,"0.0%",149957.492708218,149957.492708218,149957.492708218,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"*ADM SCHOOL SECURITY MANAGER-U",NA,NA,NA,NA,75950.8437117358,77498.5196480642,74402.7332180759,"2.0%",NA,NA,NA,NA,88502.3402565331,90301.2550219306,86702.9203908224,"2.0%",87785.7364955251,87785.7364955251,87785.7364955251,"0.0%",NA,NA,NA,NA,85725,85725,NA,NA
"*ADMIN SCHL SECUR MGR-MGL",NA,NA,NA,NA,151889.782223961,151889.782223961,151889.782223961,"0.0%",154075.196132321,154075.196132321,154075.196132321,"0.0%",NA,NA,NA,NA,166900.935447654,166900.935447654,166900.935447654,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA
"*ADMINISTRATIVE ATTORNEY",159779.279790584,166462.241733178,146418.803858133,"6.4%",173878.415146619,181984.290762819,165761.181386387,"4.7%",168171.710948431,176265.2774731,151991.175777141,"7.4%",170354.498265617,178552.932762514,153964.312638274,"7.4%",165608.939675765,173578.990703801,149675.334807868,"7.4%",NA,NA,NA,NA,146420.5,135896.904402322,156955.26877002,"-7.2%"
"*AGENCY ATTORNEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113264.439271268,104835.000271074,125903.979610065,"-9.1%",NA,NA,NA,NA,119182,114203.330666518,129143.340895325,"-6.1%"
"*ASIST SYSTMS ANALYST",62186.2613655045,62177.5958069199,67031.7046928943,"-3.8%",64954.2273823199,64945.2183100333,69991.7502114392,"-3.7%",65920.8343493904,65911.6954199576,71030.9682440536,"-3.7%",66801.8610568476,66792.6028117008,71978.7116582507,"-3.7%",69973.603505112,69973.603505112,69973.603505112,"0.0%",NA,NA,NA,NA,73482,73482,73482,"0.0%"
"*ASSIST COORDINATING MANAGER",52039.9962821048,49985.0758278284,52344.7328915522,"-2.3%",54345.8829005668,52224.0091274352,54660.5484234846,"-2.3%",52881.8348407622,52966.6245004219,52864.3032278419,"0.1%",53592.4386249432,53683.2439455733,53573.6631782817,"0.1%",52104.1243351276,52187.8381249463,52086.8151754366,"0.1%",NA,NA,NA,NA,53783.3333333333,53195.3476439012,53904.9087418342,"-0.7%"
"*ASSISTANT ADVOCATE-PD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100325.59848308,89835.6284263107,104282.423780445,"-7.4%",101364.833933178,87451.0085094383,106613.14027932,"-9.9%",NA,NA,NA,NA,113643,101467.306218869,132389.426926493,"-13.2%"
"*ASSOCIATE DIRECTOR HEALTH PROGRAM",113768.34933883,122245.925919831,104765.460073254,"7.7%",119607.571079329,129270.538064945,109345.838741411,"8.4%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
