"Title","Average_2014","Male_2014","Female_2014","Gap_2014","Average_2015","Male_2015","Female_2015","Gap_2015","Average_2016","Male_2016","Female_2016","Gap_2016","Average_2017","Male_2017","Female_2017","Gap_2017","Average_2018","Male_2018","Female_2018","Gap_2018","Average_2019","Male_2019","Female_2019","Gap_2019","Average_2020","Male_2020","Female_2020","Gap_2020"
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140027.268097968,140734.093741792,139726.954196188,"0.4%",145623.095238095,145654.061258882,145609.952381974,"0.0%"
"ACCOUNTANT",61658.8109223806,62948.0269174362,60235.6981439952,"2.2%",63859.7796744837,64409.9268705834,63167.2859219245,"1.0%",64326.704027294,65878.2646599985,62705.9784417718,"2.5%",64816.1511288223,66934.867772848,62811.1638585009,"3.2%",62582.3320388464,64155.2682210256,61131.650530564,"2.4%",64961.8845619007,66318.6399745863,63805.1238815962,"1.9%",67980.1174089069,69286.9229710754,66875.7437218372,"1.8%"
"ADM MANAGER-NON-MGRL",NA,NA,NA,NA,73900.6450738072,75062.5748388094,73502.6347970075,"1.1%",76790.4396952207,80966.1521406038,75623.9511319121,"3.4%",78079.5156354247,79734.2006676742,77664.9689072133,"1.3%",NA,NA,NA,NA,NA,NA,NA,NA,82769.7550831793,86140.5634398358,81912.3820350688,"2.5%"
"ADM MANAGER-NON-MGRL FROM M1/M2",70751.165843376,70932.8005786262,70682.5717090833,"0.2%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77143.6687653833,79332.0976902392,76597.5288248513,"1.8%",77413.8952402761,80207.5679333481,76708.3654162227,"2.2%",NA,NA,NA,NA
"ADMIN COMMUNITY RELATIONS SPECIALIST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96275.4738261906,96214.0027618119,96319.9099139457,"-0.1%",86016.5782779202,89578.0034597344,84069.9905251493,"3.2%",85665.7560893717,88749.6919724232,84001.0701356886,"2.7%",86434.5753012048,89492.139857559,84655.8532397599,"2.8%"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES",97365.8470113446,97092.1997260619,97472.9114695967,"-0.2%",103111.61004335,105357.254484647,102121.343442671,"1.6%",105285.397289644,106647.088878947,104691.789737428,"0.9%",105125.123776892,106396.005430616,104589.193774092,"0.9%",103513.483251571,104978.579952291,102951.291125925,"1.0%",107625.231028927,110455.033052281,106569.626476384,"1.8%",110993.766393443,114783.020344525,109615.936771383,"2.3%"
"ADMINISTRATIVE EDUCATION ANALYST",107502.690858319,108797.843814093,106760.094457533,"0.9%",113246.106659836,113671.442471346,113005.963031299,"0.3%",112646.322073736,112470.747198266,112757.22544158,"-0.1%",110059.520834026,111130.479844117,109432.98341913,"0.8%",108242.95282071,110125.096021989,107170.515159017,"1.4%",109730.186268713,111770.010381514,108483.650739322,"1.5%",113293.770348837,116555.614814556,111383.042857863,"2.3%"
"ADMINISTRATIVE EDUCATION OFFICER",111041.840338036,115553.515722146,108698.262366876,"3.1%",109617.602840736,112705.613785793,108032.218583811,"2.1%",106771.954386819,108852.14411937,105698.848468518,"1.5%",105191.556939728,107072.638240493,104227.652113757,"1.3%",103491.924382783,104367.592169041,103033.153882719,"0.6%",105344.620905276,107169.288103289,104384.825947465,"1.3%",108829.40546697,108915.210527733,108783.663140789,"0.1%"
"ADMINISTRATIVE ENGINEER",127942.537438149,128882.77724988,120581.406731912,"3.3%",133863.006927281,134669.177059082,127861.852095379,"2.6%",136381.475002967,137237.10709478,131025.346542616,"2.3%",138816.699377028,139371.612018825,135417.939610301,"1.4%",131683.078417797,132433.068425926,127545.303158399,"1.9%",135178.605263875,136174.336012095,130153.917892676,"2.3%",139195.112328767,140229.735851047,133811.16586244,"2.3%"
"ADMINISTRATIVE PROCUREMENT ANALYST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90672.3104345962,94420.7719556484,88336.4252958365,"3.3%",NA,NA,NA,NA
"ADMINISTRATIVE PROCUREMENT ANALYST-NON-MGRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87766.3457943925,93127.4231597493,85223.3037253797,"4.4%"
"ADMINISTRATIVE PROJECT MANAGER",114887.883069373,113786.267490962,118389.104259132,"-2.0%",121049.597892151,118445.137251919,129055.069524106,"-4.3%",123611.914482127,121276.351017812,130537.518971286,"-3.7%",122521.8807332,121955.189924762,124135.593925809,"-0.9%",118235.446206813,118029.921088367,118782.854798117,"-0.3%",119471.077505756,120190.77380985,117556.486635316,"1.1%",118795.81042654,119970.2883675,115760.27827911,"1.8%"
