"Title","Average_2014","Total_2014","Average_2015","Total_2015","Average_2016","Total_2016","Average_2017","Total_2017","Average_2018","Total_2018","Average_2019","Total_2019","Average_2020","Total_2020"
"","$11,812.36","$23,625","$18,746.76","$37,494","$17,310.92","$34,622","$21,756","$21,756","$23,473.55","$46,947","$17,869.02","$35,738","$4,072.32","$8,145"
"*ADM DIR FLEET MAINTENANCE - NM","$1,859.41","$1,859","$5,417.73","$5,418","$3,475.13","$3,475","$7,493","$7,493",NA,NA,NA,NA,NA,NA
"*ADM SCHOOL SECURITY MANAGER-U",NA,NA,"$11,312.61","$45,250",NA,NA,"$14,070","$56,280","$12,983.77","$38,951",NA,NA,"$0.00","$0"
"*ADMIN SCHL SECUR MGR-MGL",NA,NA,"$0.00","$0","$0.00","$0",NA,NA,"$0.00","$0",NA,NA,NA,NA
"*ADMINISTRATIVE ATTORNEY","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"*AGENCY ATTORNEY",NA,NA,NA,NA,NA,NA,NA,NA,"$7,320.96","$36,605",NA,NA,"$11,515.23","$34,546"
"*ASIST SYSTMS ANALYST","$0.70","$1","$0.63","$1","$0.00","$0","$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"*ASSIST COORDINATING MANAGER","$222.71","$1,782","$220.98","$1,768","$20.43","$123","$185","$1,111","$182.65","$1,096",NA,NA,"$55.62","$334"
"*ASSISTANT ADVOCATE-PD",NA,NA,NA,NA,NA,NA,"$3,117","$9,352","$4,288.52","$12,866",NA,NA,"$3,403.74","$10,211"
"*ASSOCIATE DIRECTOR HEALTH PROGRAM","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"*ASSOCIATE EDUCATION OFFICER",NA,NA,NA,NA,NA,NA,NA,NA,"$172.58","$8,974",NA,NA,"$279.74","$8,952"
"*ASSOCIATE EXECUTIVE DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"*ATTORNEY AT LAW","$316.97","$28,528",NA,NA,"$16,350.37","$65,401",NA,NA,"$1,303.10","$91,217",NA,NA,"$1,708.17","$80,284"
