"Title","Average","Total"
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL","$0.00","$0"
"ACCOUNTANT","$838.21","$207,038"
"ADM MANAGER-NON-MGRL","$2,587.10","$2,799,243"
"ADMIN COMMUNITY RELATIONS SPECIALIST","$2,398.06","$796,155"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","$1,416.05","$691,034"
"ADMINISTRATIVE EDUCATION ANALYST","$397.56","$136,759"
"ADMINISTRATIVE EDUCATION OFFICER","$321.64","$141,200"
"ADMINISTRATIVE ENGINEER","$1,231.78","$449,600"
"ADMINISTRATIVE PROCUREMENT ANALYST-NON-MGRL","$2,125.11","$454,774"
"ADMINISTRATIVE PROJECT MANAGER","$2,235.23","$943,267"
"ADMINISTRATIVE STAFF ANALYST","$1,169.71","$2,055,189"
"AGENCY ATTORNEY","$1,667.73","$1,694,416"
"ANNUAL ED PARA","$0.00","$0"
"ASSISTANT CIVIL ENGINEER","$3,454.03","$811,696"
"ASSISTANT CORPORATION COUNSEL","$0.00","$0"
"ASSISTANT DISTRICT ATTORNEY","$0.77","$1,382"
"ASSISTANT PRINCIPAL","$0.00","$0"
"ASSISTANT PROFESSOR","$0.00","$0"
"ASSISTANT TO HEO","$59.54","$18,459"
"ASSOCIATE FRAUD INVESTIGATOR","$3,629.55","$907,388"
"ASSOCIATE JOB OPPORTUNITY SPECIALIST","$9,862.70","$5,789,405"
"ASSOCIATE PARK SERVICE WORKER","$5,469.93","$1,646,448"
"ASSOCIATE PROFESSOR","$0.00","$0"
"ASSOCIATE PROJECT MANAGER","$1,971.84","$609,299"
"ASSOCIATE STAFF ANALYST","$1,734.08","$974,556"
"ASSOCIATE TRAFFIC ENFORCEMENT AGENT","$17,854.02","$4,927,710"
"BATTALION CHIEF","$3,501.74","$1,257,125"
"BUDGET ANALYST","$877.61","$301,021"
"CALL CENTER REPRESENTATIVE","$792.45","$173,548"
"CAPTAIN","$29,910.24","$47,317,998"
"CARETAKER","$6,941.26","$19,754,813"
"CASEWORKER","$1,198.03","$1,251,938"
"CERTIFIED IT ADMINISTRATOR","$7,750.13","$2,650,545"
"CHILD PROTECTIVE SPECIALIST","$6,125.43","$10,376,471"
