Name,F,M,M_weight,F_weight
AABAN,0,12,1,0
AADEN,0,253,1,0
AADHYA,28,0,0,1
AADI,0,31,1,0
AADIL,0,5,1,0
AADYA,16,0,0,1
AADYN,0,5,1,0
AAHANA,5,0,0,1
AAHIL,0,99,1,0
AAIDEN,0,31,1,0
AAIMA,11,0,0,1
AAIRA,15,0,0,1
AAIRAH,18,0,0,1
AAKASH,0,16,1,0
AALEYAH,30,0,0,1
AALIA,17,0,0,1
AALIYA,61,0,0,1
AALIYAH,5115,0,0,1
AALIYHA,6,0,0,1
AALYAH,5,0,0,1
AAMIR,0,158,1,0
AAMIRA,6,0,0,1
AANIYAH,34,0,0,1
AANYA,126,0,0,1
AARALYN,19,0,0,1
AARAV,0,288,1,0
AAREN,0,33,1,0
AARIYA,5,0,0,1
AARIZ,0,50,1,0
AARNA,11,0,0,1
AAROHI,10,0,0,1
AARON,91,32112,0.997174176,0.002825824
AARRON,0,6,1,0
AARTI,12,0,0,1
AARUSH,0,96,1,0
AARUSHI,11,0,0,1
AARYA,101,5,0.047169811,0.952830189
AARYAN,0,88,1,0
AARYN,0,5,1,0
AASHI,5,0,0,1
AASIM,0,25,1,0
AASIYAH,7,0,0,1
AAYAN,0,250,1,0
AAYAT,32,0,0,1
AAYDEN,0,60,1,0
AAYUSH,0,25,1,0
ABAGAIL,205,0,0,1
ABAYOMI,0,6,1,0
ABBA,0,19,1,0
ABBAS,0,84,1,0
ABBE,266,0,0,1
ABBEY,738,0,0,1
ABBIE,607,0,0,1
ABBIGAIL,288,0,0,1
ABBIGALE,6,0,0,1
ABBOTT,0,12,1,0
ABBY,2801,5,0.001781896,0.998218104
ABBYGAIL,64,0,0,1
ABBYGALE,5,0,0,1
ABDALLAH,0,100,1,0
ABDEL,0,10,1,0
ABDELRAHMAN,0,30,1,0
ABDIEL,0,260,1,0
ABDO,0,5,1,0
ABDOU,0,26,1,0
ABDOUL,0,186,1,0
ABDOULAYE,0,297,1,0
ABDOULIE,0,10,1,0
ABDUL,0,1225,1,0
ABDULAI,0,5,1,0
ABDULAZIZ,0,56,1,0
ABDULLA,0,21,1,0
ABDULLAH,0,1035,1,0
ABDULLAHI,0,6,1,0
ABDULLOH,0,13,1,0
ABDULMALIK,0,5,1,0
ABDULRAHMAN,0,175,1,0
ABDUR,0,6,1,0
ABDURRAHMAN,0,39,1,0
ABE,0,1698,1,0
ABEEHA,6,0,0,1
ABEER,10,0,0,1
ABEL,0,1675,1,0
ABELARDO,0,27,1,0
ABELLA,13,0,0,1
ABENA,74,0,0,1
ABHAY,0,10,1,0
ABHINAV,0,27,1,0
ABHIRAM,0,6,1,0
ABHISHEK,0,41,1,0
ABID,0,37,1,0
ABIE,0,17,1,0
ABIEL,0,39,1,0
ABIGAEL,83,0,0,1
ABIGAELLE,5,0,0,1
ABIGAIL,19964,0,0,1
ABIGAL,13,0,0,1
ABIGALE,193,0,0,1
ABIGAYLE,146,0,0,1
ABIHA,7,0,0,1
ABIMAEL,0,31,1,0
ABIOLA,5,0,0,1
ABIR,0,22,1,0
ABNER,0,474,1,0
ABOU,0,11,1,0
ABOUBACAR,0,150,1,0
ABOUBAKAR,0,11,1,0
ABRAHAM,5,16129,0.999690095,0.000309905
