"Title","Average","Male","Female","Gap"
"",44841,56410.2250873228,21814.4031007773,0.442262530201561
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",138629.111587983,139831.233557106,138149.64808053,0.00604928463666183
"12 MONTH SPECIAL EDUCATION SUPERVISOR",141605.818181818,134317.86091335,142342.977703134,-0.029007057268807
"ACCOUNTANT",63738.9532163743,64846.7101738789,62759.2457922862,0.0163586751557755
"ACTUARIAL SPECIALIST LEVEL I",72070.2666666667,76669.8943458442,68053.0128589442,0.0595405499608078
"ACTUARIAL SPECIALIST LEVEL II, OJ",99723,NA,99723,NA
"ADM MANAGER-NON-MGRL FROM M1/M2",76895.3203746878,79762.6974260365,76159.0090832104,0.0231121658651962
"ADM SCHOOL SECURITY MANAGER-U",85725,85725,85725,0
"ADM TRAFFIC ENFRCMNT AGENT-DIRECTOR OF PARKING ENFRCMNT DIST",158268,158268,158268,0
"ADMIN ASST-CAMPAIGN FIN BOARD",63762.3636363636,62803.2769003478,64311.524990154,-0.0118652436016494
"ADMIN COMMUNITY RELATIONS SPECIALIST",85743.181122449,88891.0366451742,84007.7449660799,0.0282436442500441
"ADMIN CONSTRUCTION PROJECT MANAGER",109400.655172414,111168.270085298,99191.7617761682,0.0569333832247032
"ADMIN CONTRACT SPECIALIST",124670.505747126,121052.655679569,126757.899111187,-0.023022600616972
"ADMIN DIR OF LABORATORY",102781,102781,102781,-7.07908817211686e-17
"ADMIN HOUSING DEVELOPMENT SPEC",99740.9615384615,103250.991151045,96841.8423696848,0.0320308762117486
"ADMIN INSPECTOR",104089,104274.405394444,100258.692644215,0.0196335595008188
"ADMIN JOB OPOR SPEC-MANAGERIAL",130369.068965517,134951.496803879,127809.588046867,0.0271802377474155
"ADMIN JOB OPPORTUNITY SPEC NM",82598.2553191489,83473.4714649398,82244.6538129449,0.00741510712804849
"ADMIN LANDMARKS PRESERVATIONIST",101581,111671.566042988,96542.7324484459,0.0726599167499762
"ADMIN SCHL SECUR MGR-MGL",180182,180182,180182,0
"ADMIN TESTS & MEAS SPEC",114378.8,123317.382368748,108351.725809216,0.0645992755669239
"ADMIN TRAFFIC ENF AGNT-UNION",71990.1481481481,73086.2672952467,70398.5993364074,0.0187313688330554
"ADMIN TRAFFIC ENFRCMNT AGENT",127497.666666667,144200.85033555,118722.161419286,0.096905511412677
"ADMINISTRATIIVE TAXI & LIMOUSINE INSPECTOR",119180.857142857,110261.458670417,151238.148887803,-0.156698859321476
"ADMINISTRATIVE  PROGRAM OFFICER",111828.666666667,94497.4306279106,112729.995602442,-0.0879833587001379
"ADMINISTRATIVE ACCOUNTANT",115771.433962264,120037.579680929,112401.912402231,0.032850128909963
"ADMINISTRATIVE ACTUARY",174443.5,176182.51854787,167541.906672875,0.0251381957201492
"ADMINISTRATIVE ARCHITECT",127139.042553191,128957.356861975,122984.028878733,0.0237091971439327
"ADMINISTRATIVE ASSESSOR",144201.8,152062.029587353,112954.75802514,0.147565261485986
"ADMINISTRATIVE ASSISTANT",52386.7794117647,51681.6421273518,52793.7864072456,-0.0106450319993235
"ADMINISTRATIVE ASSISTANT TO COMMUNITY EDUCATION COUNCIL",44155.8125,47500.6095510505,43691.1082210467,0.0417746416349383
"ADMINISTRATIVE ASSISTANT TO THE COMPTROLLER",125454.6,133769.059597056,92499.7367399201,0.182390694277062
"ADMINISTRATIVE ASSOCIATE",66198.1886792453,67801.6855355038,64108.3204839003,0.0279991273069934
"ADMINISTRATIVE ATTORNEY",168667,176784.336582154,152438.9440911,0.0739479675959371
"ADMINISTRATIVE BLASTING INSPECTOR",119939,119939,119939,-6.06638175587876e-17
"ADMINISTRATIVE BOROUGH SUPERINTENDENT",126975,132167.393094111,116602.174723992,0.0625688202405078
"ADMINISTRATIVE BUSINESS PROMOTION COORDINATOR",111006.033057851,112344.895888483,110164.988701977,0.00979690044115669
"ADMINISTRATIVE CHIEF",139235.909090909,138982.913760973,139405.575995413,-0.00151824608412912
"ADMINISTRATIVE CITY PLANNER",117958.586206897,124431.869132143,110325.202055252,0.0600904884591561
